s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
2.297346,-0.003574,-0.848502,-1.663231,-1.671700,-0.017872,5.000000,0.000000,-0.000929,0.000000,5.000000,-0.220000,0.900000
2.397230,0.001864,-0.749126,-1.673303,-1.671817,0.009318,5.000000,0.000000,0.000485,0.000000,5.000000,-0.240000,0.900000
2.497115,0.012765,-0.649748,-1.683354,-1.671206,0.063823,5.000000,0.000000,0.003319,0.000000,5.000000,-0.220000,0.900000
2.597000,0.040248,-0.550357,-1.693266,-1.668768,0.201239,5.000000,0.000000,0.010464,0.000000,5.000000,-0.240000,0.900000
2.696884,0.098647,-0.450923,-1.702743,-1.661946,0.493233,5.000000,0.000000,0.025643,0.000000,5.000000,-0.200000,0.900000
2.796769,0.179193,-0.351398,-1.711210,-1.648021,0.895967,5.000000,0.000000,0.046557,0.000000,5.000000,-0.180000,0.880000
2.896653,0.243573,-0.251738,-1.717914,-1.626811,1.202541,4.937084,0.000000,0.063245,0.000000,4.937084,-0.180000,0.900000
2.996538,0.276337,-0.151947,-1.722236,-1.600787,1.345718,4.869840,0.000000,0.071724,0.000000,4.869840,-0.180000,0.900000
3.096423,0.292633,-0.052076,-1.723824,-1.572322,1.406678,4.806968,0.000000,0.075938,0.000000,4.806968,-0.160000,0.900000
3.196307,0.294966,0.047800,-1.722506,-1.542786,1.398049,4.739695,0.000000,0.076541,0.000000,4.739695,-0.160000,0.880000
3.296192,0.266877,0.147595,-1.718280,-1.514603,1.241874,4.653356,0.000000,0.069277,0.000000,4.653356,-0.200000,0.860000
3.396076,0.230529,0.247243,-1.711411,-1.489990,1.048902,4.549968,0.000000,0.059866,0.000000,4.549968,-0.220000,0.860000
3.495961,0.221039,0.346704,-1.702226,-1.467636,0.981202,4.439046,0.000000,0.057407,0.000000,4.439046,-0.200000,0.860000
3.595846,0.228894,0.445937,-1.690833,-1.445204,0.989829,4.324407,0.000000,0.059442,0.000000,4.324407,-0.280000,0.840000
3.695730,0.241545,0.544883,-1.677171,-1.421775,1.016075,4.206571,0.000000,0.062719,0.000000,4.206571,-0.360000,0.820000
3.795615,0.260182,0.643470,-1.661121,-1.396745,1.063155,4.086198,0.000000,0.067544,0.000000,4.086198,-0.380000,0.800000
3.895499,0.281271,0.741606,-1.642512,-1.369695,1.114710,3.963121,0.000000,0.073000,0.000000,3.963121,-0.420000,0.780000
3.995384,0.301177,0.839181,-1.621155,-1.340600,1.155405,3.836298,0.000000,0.078147,0.000000,3.836298,-0.420000,0.780000
4.095269,0.319450,0.936071,-1.596875,-1.309606,1.183388,3.704456,0.000000,0.082867,0.000000,3.704456,-0.440000,0.760000
4.195153,0.338267,1.032136,-1.569515,-1.276759,1.206461,3.566594,0.000000,0.087724,0.000000,3.566594,-0.500000,0.720000
4.295038,0.361397,1.127220,-1.538920,-1.241837,1.236759,3.422165,0.000000,0.093688,0.000000,3.422165,-0.560000,0.680000
4.394922,0.393177,1.221136,-1.504905,-1.204223,1.286074,3.270983,0.000000,0.101872,0.000000,3.270983,-0.620000,0.660000
4.494807,0.440253,1.313639,-1.467217,-1.162778,1.370695,3.113422,0.000000,0.113970,0.000000,3.113422,-0.700000,0.620000
4.594692,0.509447,1.404391,-1.425487,-1.115655,1.503036,2.950330,0.000000,0.131690,0.000000,2.950330,-0.780000,0.600000
4.694576,0.606305,1.492899,-1.379184,-1.060327,1.687225,2.782800,0.000000,0.156353,0.000000,2.782800,-0.840000,0.560000
4.794461,0.739776,1.578433,-1.327597,-0.993643,1.932850,2.612750,0.000000,0.190021,0.000000,2.612750,-0.920000,0.520000
4.894345,0.932267,1.659907,-1.269817,-0.911031,2.280405,2.446086,0.000000,0.237803,0.000000,2.446086,-1.000000,0.480000
4.994230,1.235129,1.735604,-1.204673,-0.804271,2.851874,2.308968,0.000000,0.310731,0.000000,2.308968,-1.040000,0.460000
5.094115,1.480155,1.802723,-1.130771,-0.666043,3.257820,2.200999,0.000000,0.367370,0.000000,2.200999,-1.040000,0.420000
5.193999,1.620016,1.858270,-1.047846,-0.511295,3.565654,2.200999,0.000000,0.398651,0.000000,2.200999,-1.000000,0.420000
